City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current status,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
266,tanabe,33.73,135.39,70.0,64,40,11.41,scattered clouds,0.0,0.0
267,koshurnikovo,54.3,93.39,7.74,76,100,3.8,light snow,0.0,0.13
268,san jose,14.25,-87.96,63.81,89,100,6.46,overcast clouds,0.0,0.0
269,altamont,49.4,-98.5,3.2,65,75,9.17,broken clouds,0.0,0.0
270,banda aceh,5.56,95.32,85.73,66,37,6.53,light rain,1.19,0.0
271,daryapur,20.92,77.32,82.58,49,0,7.14,clear sky,0.0,0.0
272,paamiut,61.99,-49.67,35.76,96,100,9.08,light snow,0.0,1.0
273,sitka,37.17,-99.65,34.0,74,82,8.99,broken clouds,0.0,0.0
274,horadiz,39.45,47.33,55.4,66,0,6.93,clear sky,0.0,0.0
275,khorramshahr,30.43,48.18,80.6,34,0,2.24,haze,0.0,0.0
276,fairbanks,64.84,-147.72,19.99,79,90,1.7,overcast clouds,0.0,0.0
277,guanajuato,21.02,-101.25,57.2,71,5,4.41,clear sky,0.0,0.0
278,great yarmouth,52.61,1.73,46.0,100,90,12.75,light rain,0.0,0.0
279,padang,-0.92,100.36,78.49,75,100,4.59,light rain,2.25,0.0
280,valparaiso,41.47,-87.06,41.0,93,90,8.05,light rain,0.0,0.0
281,marsa matruh,31.35,27.25,60.8,87,0,6.17,clear sky,0.0,0.0
282,saint anthony,43.97,-111.68,35.6,68,1,4.7,clear sky,0.0,0.0
283,nerchinskiy zavod,51.31,119.61,17.29,34,0,13.62,clear sky,0.0,0.0
284,poya,-21.35,165.16,71.92,64,25,15.77,scattered clouds,0.0,0.0
285,progreso,-34.68,-56.22,61.0,87,0,5.82,clear sky,0.0,0.0
286,killybegs,54.63,-8.45,41.0,88,99,5.01,light rain,1.81,0.0
287,kodinsk,58.6,99.18,-2.28,79,100,7.81,overcast clouds,0.0,0.0
288,los llanos de aridane,28.66,-17.92,68.0,64,20,18.34,few clouds,0.0,0.0
289,barcelos,-0.97,-62.93,75.78,86,39,1.9,scattered clouds,0.0,0.0
290,ryotsu,38.08,138.43,59.0,93,75,1.12,moderate rain,0.0,0.0
291,desna,50.92,30.77,50.0,100,90,8.95,light rain,0.0,0.0
292,talnakh,69.49,88.39,-4.01,83,75,6.71,shower snow,0.0,0.0
293,chulman,56.84,124.9,-0.64,94,100,14.03,snow,0.0,2.0
294,ozernovskiy,51.5,156.52,35.33,76,98,19.33,light snow,0.0,1.0
295,cabo san lucas,22.89,-109.91,80.01,64,40,4.7,scattered clouds,0.0,0.0
296,charters towers,-20.07,146.27,91.78,22,48,19.39,scattered clouds,0.0,0.0
297,valadares,-25.53,-48.5,62.6,100,75,5.82,broken clouds,0.0,0.0
298,chepareria,1.32,35.2,74.59,60,41,2.24,scattered clouds,0.0,0.0
299,quatre cocos,-20.21,57.76,82.4,65,20,12.75,few clouds,0.0,0.0
300,nelson bay,-32.72,152.14,73.4,60,1,14.99,smoke,0.0,0.0
301,mabaruma,8.2,-59.78,74.1,99,25,1.63,scattered clouds,0.0,0.0
302,alberton,-26.25,28.13,75.2,43,76,1.12,light rain,0.5,0.0
303,kyzyl-suu,42.34,78.0,34.48,80,100,8.1,light snow,0.0,1.25
304,nome,30.04,-94.42,62.01,93,1,6.55,clear sky,0.0,0.0
305,kaputa,-8.47,29.66,75.99,65,95,3.42,overcast clouds,0.0,0.0
306,siukh,43.41,46.6,50.92,75,0,5.53,clear sky,0.0,0.0
307,wuwei,37.93,102.64,48.76,16,41,3.2,scattered clouds,0.0,0.0
308,kamenka,48.03,28.7,55.0,85,65,1.99,light rain,0.94,0.0
309,dongkan,34.0,119.83,70.79,18,0,1.48,clear sky,0.0,0.0
310,oriximina,-1.77,-55.87,77.67,82,45,2.62,scattered clouds,0.0,0.0
311,inuvik,68.36,-133.71,3.2,59,5,3.36,clear sky,0.0,0.0
312,khani,41.96,42.96,68.0,30,27,12.75,scattered clouds,0.0,0.0
313,dubbo,-32.25,148.6,82.4,13,2,5.82,clear sky,0.0,0.0
314,blagoyevo,63.37,47.92,32.67,99,100,2.1,light rain,1.94,0.0
315,conway,35.09,-92.44,53.01,87,75,4.54,broken clouds,0.0,0.0
